time,acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z
11,0.59,0.12,-0.87,-3.78,1.89,-3.54
30,0.59,0.13,-0.83,-3.36,-4.15,-5.86
50,0.61,0.1,-0.82,-2.62,-4.58,-6.77
70,0.6,0.14,-0.84,-3.11,-5.55,-0.43
90,0.6,0.17,-0.78,-10.13,-9.46,1.4
110,0.6,0.1,-0.78,-19.71,-5.62,1.1
130,0.6,0.05,-0.7,-21.55,-0.79,8.54
150,0.62,0.09,-0.68,-29.24,2.69,16.48
169,0.6,0.07,-0.68,-29.42,11.23,17.76
189,0.6,0.16,-0.76,-36.13,30.09,15.14
209,0.59,0.13,-0.95,-28.93,19.84,8.12
229,0.58,0.04,-0.85,-26.37,5.43,7.51
249,0.61,-0.01,-0.87,-21.73,1.1,15.62
269,0.58,0.04,-0.86,-13.18,-5.37,17.58
288,0.6,0.03,-0.77,-18.55,-0.61,20.69
308,0.61,0.07,-0.84,-28.69,2.93,27.53
328,0.59,0.12,-0.95,-30.52,-11.78,26.06
348,0.55,0.07,-0.89,-29.17,-25.15,21.24
368,0.58,0.01,-0.82,-38.57,-24.05,27.83
388,0.56,0.09,-0.8,-46.14,-21.48,32.84
409,0.59,0.15,-0.81,-48.4,-18.49,25.27
429,0.56,0.1,-0.82,-40.22,-21.73,21.55
450,0.58,0.07,-0.72,-24.66,-13.18,22.28
470,0.6,0.07,-0.74,-4.52,-1.28,28.99
491,0.6,0.09,-0.72,1.95,6.77,35.16
512,0.58,0.17,-0.78,-12.57,6.23,23.68
532,0.57,0.2,-0.83,-26.06,-3.3,4.03
552,0.58,0.12,-0.76,-8.85,1.53,-2.32
572,0.6,0.0,-0.77,30.21,16.3,3.3
592,0.61,0.01,-0.78,21.85,14.83,7.26
612,0.62,0.05,-0.84,-11.66,4.7,2.81
632,0.62,-0.0,-0.87,-22.28,-4.76,6.35
652,0.6,-0.01,-0.85,-15.01,-7.2,15.69
672,0.57,0.04,-0.8,7.02,0.06,24.23
692,0.53,0.15,-0.8,4.15,2.5,22.28
712,0.45,0.26,-0.83,-13.31,-5.43,10.13
732,0.31,0.44,-0.76,-9.7,-4.15,-10.99
