time,acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z
11,0.69,0.04,-0.81,25.02,-13.37,19.96
31,0.69,0.02,-0.71,30.52,-9.64,27.77
50,0.68,0.2,-0.73,21.24,-6.71,28.26
69,0.68,0.22,-0.73,-1.28,-13.92,21.73
88,0.64,0.21,-0.65,-3.48,-18.25,25.02
108,0.65,0.12,-0.61,8.79,-6.77,32.53
127,0.67,0.17,-0.64,10.38,0.49,50.35
146,0.61,0.39,-0.35,-2.93,-0.67,56.34
166,0.48,0.66,-0.46,-4.27,33.57,43.64
186,0.41,0.73,-0.49,11.72,48.89,19.23
206,0.35,0.74,-0.46,27.1,56.4,2.08
225,0.25,0.99,-0.41,6.53,59.02,-21.24
245,0.17,1.23,-0.33,-46.08,56.76,-72.88
265,0.06,1.14,-0.31,-73.36,70.25,-128.3
285,-0.07,0.94,-0.39,-86.85,86.36,-174.01
304,0.0,0.51,-0.63,-104.13,87.16,-215.09
324,0.19,-0.27,-0.86,-107.48,70.01,-224.98
344,0.27,-0.65,-0.9,-81.42,61.16,-192.32
364,0.22,-0.47,-0.93,-53.22,60.24,-168.58
384,0.24,-0.58,-0.97,-48.28,59.39,-167.6
403,0.27,-0.94,-1.05,-53.71,57.01,-167.24
422,0.28,-1.12,-1.09,-57.86,49.01,-150.33
441,0.36,-1.32,-1.18,-35.83,42.36,-126.1
461,0.45,-1.44,-1.13,-8.24,29.42,-92.71
481,0.42,-1.33,-1.04,-5.8,18.13,-51.88
502,0.4,-1.3,-1.07,-8.3,19.59,-21.73
521,0.39,-1.29,-1.1,2.38,19.96,5.25
540,0.38,-1.24,-1.1,15.75,13.43,35.03
559,0.33,-1.04,-1.02,16.11,6.53,55.66
578,0.3,-0.92,-0.98,15.44,6.71,65.19
598,0.29,-0.89,-1.02,28.63,6.35,82.46
618,0.28,-0.88,-1.08,47.79,2.5,107.97
638,0.27,-0.8,-1.06,57.25,-8.12,134.89
658,0.27,-0.66,-0.92,47.73,-16.42,157.59
678,0.24,-0.39,-0.84,44.49,-17.09,175.54
698,0.23,-0.1,-0.82,58.41,-10.5,182.13
718,0.23,0.06,-0.88,68.85,-7.32,184.51
737,0.2,0.3,-0.86,78.86,-8.91,188.6
756,0.18,0.64,-0.81,46.02,-14.77,165.34
776,0.23,0.63,-0.79,2.01,-16.05,114.93
796,0.29,0.56,-0.79,15.2,-5.49,91.61
816,0.3,0.56,-0.81,25.39,-0.98,83.25
835,0.3,0.57,-0.79,11.84,-5.86,66.77
855,0.32,0.61,-0.78,8.91,-3.78,48.03
874,0.33,0.57,-0.74,12.94,0.31,30.58
893,0.33,0.51,-0.74,15.75,6.9,20.81
912,0.34,0.44,-0.79,13.79,7.57,18.98
932,0.3,0.49,-0.73,10.56,5.98,12.88
952,0.26,0.5,-0.65,12.45,12.02,6.35
972,0.22,0.5,-0.64,17.21,20.63,1.77
992,0.18,0.5,-0.65,4.46,21.48,-7.93
1012,0.07,0.53,-0.57,-29.97,17.4,-22.64
1032,-0.08,0.72,-0.44,-34.0,33.39,-40.22
1052,-0.15,1.02,-0.37,-20.81,61.65,-86.0
1072,-0.19,1.12,-0.36,-25.39,73.36,-121.7
1092,-0.32,0.87,-0.32,-66.89,90.09,-209.29
1112,-0.42,0.37,-0.42,-109.01,120.48,-293.82
1132,-0.45,-0.22,-0.82,-96.86,166.26,-350.77
1152,-0.28,-1.02,-1.37,-55.42,193.36,-375.43
1172,0.07,-1.98,-1.66,-41.99,164.37,-322.02
1192,0.22,-1.92,-1.62,-44.43,106.32,-156.31
1212,0.07,-1.2,-1.64,-40.83,71.96,-29.17
1232,-0.06,-0.75,-1.52,-19.41,45.1,7.45
1252,-0.11,-0.5,-1.38,26.18,34.67,8.06
1272,-0.13,-0.4,-1.33,28.63,28.44,-4.21
1292,-0.13,-0.44,-1.29,5.8,18.8,-14.95
1312,-0.1,-0.52,-1.27,-9.7,9.46,-17.21
1332,-0.07,-0.49,-1.19,2.87,1.46,-2.44
1352,-0.07,-0.32,-1.05,15.26,-4.52,16.97
1372,-0.09,-0.17,-0.97,5.68,-5.74,17.09
1391,-0.1,-0.14,-0.96,-20.75,-6.35,-0.24
1411,-0.07,-0.25,-1.01,-22.09,-3.05,-14.59
1432,-0.03,-0.38,-0.98,0.85,-4.03,-10.25
1452,-0.02,-0.33,-0.93,5.74,-5.07,4.82
1472,-0.03,-0.2,-0.92,-2.62,-4.94,12.02
1493,-0.04,-0.1,-0.94,-2.99,-3.97,9.95
1512,-0.05,-0.11,-1.0,2.44,-3.42,0.31
1531,-0.05,-0.16,-1.01,7.51,-5.98,-5.25
1551,-0.02,-0.27,-1.03,10.99,-10.07,3.23
1571,-0.0,-0.25,-1.06,18.8,-17.58,16.72
1592,-0.05,-0.14,-0.96,22.22,-20.2,17.33
1612,-0.08,-0.08,-0.89,11.29,-9.89,2.69
1632,-0.04,-0.13,-0.96,1.53,-2.5,-10.38
1653,-0.0,-0.24,-1.03,0.98,-2.2,-9.58
1673,0.01,-0.3,-1.07,6.59,-3.11,-0.79
1694,0.03,-0.28,-1.08,9.7,-3.91,9.28
1714,0.0,-0.19,-1.07,5.86,-6.65,14.65
1734,-0.01,-0.12,-1.07,3.78,-7.81,12.45
1754,-0.01,-0.12,-1.07,3.11,-9.16,6.1
1774,0.0,-0.17,-1.08,0.73,-11.23,1.65
1794,0.02,-0.27,-1.11,3.78,-13.37,4.82
1814,0.03,-0.3,-1.11,6.23,-16.97,11.78
1834,0.05,-0.26,-1.09,6.84,-19.84,15.2
1854,0.05,-0.21,-1.1,7.39,-21.0,12.57
1874,0.06,-0.26,-1.15,11.54,-24.41,11.17
1894,0.08,-0.28,-1.14,15.56,-30.09,16.97
1915,0.07,-0.24,-1.08,11.54,-33.02,21.48
1935,0.08,-0.2,-1.07,7.87,-32.47,23.38
1956,0.09,-0.16,-1.07,5.19,-34.55,23.38
1976,0.09,-0.13,-1.06,4.52,-36.19,21.24
