time,acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z
11,0.14,0.01,-1.01,-9.89,7.63,0.67
31,0.13,-0.03,-1.05,-10.5,5.8,1.28
51,0.13,-0.02,-1.02,-15.08,3.72,5.25
71,0.13,0.01,-1.02,-18.13,2.08,6.71
91,0.12,0.01,-1.02,-12.76,0.79,2.2
111,0.14,-0.01,-1.01,-8.54,-2.56,-1.65
131,0.17,-0.03,-1.0,-12.94,-7.57,-2.75
151,0.19,-0.05,-0.9,-23.99,-10.44,-5.25
171,0.17,-0.06,-0.92,-26.06,-9.83,-7.26
192,0.2,-0.08,-0.99,-22.52,-10.68,-3.97
213,0.18,-0.05,-0.92,-24.35,-5.74,1.46
234,0.17,-0.04,-0.9,-29.48,2.75,2.81
254,0.16,0.03,-0.97,-18.55,9.28,6.23
274,0.12,0.11,-0.98,-34.42,4.03,6.04
294,0.13,0.14,-0.92,-38.09,-3.6,1.22
314,0.1,0.21,-0.99,-50.48,-4.09,-3.05
334,0.05,0.24,-1.0,-72.69,-15.14,-12.33
354,0.03,0.26,-0.91,-76.72,-25.51,-21.48
374,-0.01,0.3,-0.81,-45.84,-14.53,-27.65
395,-0.02,0.3,-0.8,-19.53,4.39,-39.12
416,-0.04,0.24,-0.8,-24.54,12.51,-55.91
437,-0.03,0.14,-0.77,-44.98,12.33,-69.7
456,-0.08,0.05,-0.69,-41.44,20.26,-75.26
477,-0.07,-0.02,-0.68,-20.69,38.7,-81.48
498,-0.08,-0.08,-0.69,-13.55,53.41,-87.65
519,-0.06,-0.12,-0.74,-36.32,60.85,-93.32
539,-0.06,-0.21,-0.91,-42.36,61.89,-97.9
559,-0.05,-0.39,-1.06,-37.41,57.07,-108.09
579,-0.03,-0.58,-1.06,-18.8,44.43,-106.99
599,0.04,-0.73,-1.09,-5.92,38.57,-93.14
620,0.11,-0.88,-1.23,-10.13,27.28,-69.03
640,0.14,-0.99,-1.25,-10.62,18.31,-60.49
661,0.15,-1.07,-1.18,-4.76,5.62,-35.03
682,0.18,-1.18,-1.19,-6.53,7.26,-17.03
703,0.19,-1.24,-1.18,-4.27,2.38,5.92
723,0.21,-1.22,-1.08,-2.2,0.55,28.26
743,0.21,-1.19,-1.02,-6.53,3.48,49.13
762,0.17,-1.16,-0.95,-7.81,5.07,74.77
781,0.12,-1.06,-0.86,-4.52,9.03,89.29
800,0.05,-0.88,-0.85,7.87,23.07,116.76
819,-0.02,-0.7,-0.91,11.29,31.56,135.99
