time,acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z
11,0.47,0.05,-0.94,11.35,-2.62,4.03
31,0.46,0.05,-0.91,3.17,-4.27,0.92
51,0.47,0.04,-0.92,-0.31,-2.32,1.1
71,0.45,0.06,-0.94,3.23,-2.26,3.23
91,0.44,0.06,-0.92,3.3,-5.62,1.59
111,0.45,0.07,-0.9,-0.37,-9.09,0.92
132,0.46,0.1,-0.89,-5.37,-9.89,-0.37
153,0.49,0.09,-0.82,-10.93,-7.75,-3.78
174,0.47,0.05,-0.89,-7.63,-5.19,-5.98
195,0.49,0.01,-0.89,-5.68,-10.93,1.65
216,0.41,0.02,-0.75,8.91,-1.34,8.85
236,0.46,0.16,-0.77,6.23,12.21,11.96
257,0.38,0.2,-0.83,8.73,10.68,5.37
277,0.37,0.21,-0.77,13.92,6.16,2.62
297,0.35,0.26,-0.73,-2.01,3.05,1.83
316,0.3,0.32,-0.74,-12.21,2.14,1.95
336,0.24,0.47,-0.77,-21.0,-1.65,-2.01
357,0.21,0.55,-0.71,-8.91,-2.99,-32.41
376,0.19,0.5,-0.65,-4.52,3.36,-44.31
396,0.19,0.43,-0.65,-2.99,21.24,-64.45
416,0.2,0.35,-0.76,-5.68,34.85,-81.6
436,0.17,0.26,-0.8,-0.18,41.08,-96.56
457,0.17,0.21,-0.81,-0.79,47.55,-108.46
478,0.17,0.16,-0.92,-6.29,56.52,-122.25
499,0.15,0.03,-1.04,-7.93,58.17,-152.59
519,0.17,-0.16,-1.08,1.77,55.3,-159.85
540,0.21,-0.33,-1.15,0.24,51.21,-163.09
560,0.28,-0.59,-1.24,-1.83,41.63,-163.39
581,0.38,-0.93,-1.29,4.82,28.93,-137.45
602,0.46,-1.12,-1.29,8.24,12.27,-92.1
624,0.48,-1.15,-1.13,-0.92,-3.85,-50.35
646,0.44,-1.06,-0.99,-6.23,-8.18,-16.85
667,0.4,-0.98,-0.86,8.18,0.24,7.2
687,0.38,-0.95,-0.81,16.54,15.26,26.55
707,0.35,-0.88,-0.87,8.0,29.05,50.29
727,0.29,-0.77,-0.96,-3.05,36.62,72.81
747,0.26,-0.68,-1.04,-9.28,39.98,89.05
769,0.22,-0.6,-1.05,0.55,38.15,109.37
790,0.15,-0.48,-0.98,8.61,32.35,132.81
810,0.11,-0.3,-0.92,2.99,30.88,148.93
830,0.06,-0.13,-0.99,1.95,34.36,159.12
850,0.0,0.1,-1.0,14.71,31.86,160.95
870,-0.01,0.27,-0.98,17.4,26.18,143.8
891,-0.01,0.29,-1.0,12.21,21.85,121.15
912,-0.03,0.34,-0.99,10.19,16.6,107.6
932,-0.03,0.43,-0.97,2.56,11.66,92.9
952,-0.03,0.49,-0.97,-5.19,7.93,73.18
972,-0.03,0.51,-0.95,-9.83,4.39,49.56
992,-0.03,0.5,-0.93,-8.67,5.31,26.31
1013,-0.01,0.47,-0.93,-2.75,11.35,4.76
1033,0.01,0.43,-0.93,-0.43,14.95,-15.38
1053,0.02,0.37,-0.92,-5.55,16.78,-33.14
1073,0.02,0.3,-0.91,-6.96,18.86,-46.33
1093,0.0,0.26,-0.89,-8.36,20.87,-54.99
1113,-0.02,0.27,-0.86,-13.24,23.38,-64.58
1133,-0.05,0.28,-0.82,-17.76,26.12,-78.55
1153,-0.08,0.27,-0.77,-31.19,29.36,-98.88
1174,-0.13,0.2,-0.75,-47.06,37.84,-121.09
1195,-0.17,0.14,-0.78,-54.81,53.1,-144.1
1216,-0.18,0.02,-0.83,-53.28,70.19,-170.04
1236,-0.18,-0.19,-0.92,-40.16,85.14,-184.27
1256,-0.15,-0.33,-1.01,-37.23,85.39,-178.65
1276,-0.1,-0.46,-1.14,-56.21,73.06,-165.83
1297,-0.07,-0.64,-1.18,-53.65,54.87,-143.55
1318,-0.05,-0.67,-1.12,-25.09,33.2,-86.43
1337,-0.07,-0.6,-1.13,-19.84,30.03,-71.35
1357,-0.08,-0.57,-1.16,-11.9,23.25,-53.89
1378,-0.09,-0.57,-1.14,-3.97,15.75,-43.88
1398,-0.12,-0.57,-1.13,-1.16,12.51,-35.16
1419,-0.12,-0.57,-1.13,0.0,11.84,-25.09
1440,-0.13,-0.52,-1.14,1.28,8.18,-5.86
1460,-0.15,-0.45,-1.11,-2.75,5.37,0.79
1480,-0.15,-0.4,-1.11,-5.13,3.05,3.48
1501,-0.15,-0.38,-1.08,1.89,0.55,6.35
1521,-0.16,-0.35,-1.04,7.2,1.77,10.68
1542,-0.17,-0.32,-1.04,-0.43,-0.55,12.33
1563,-0.17,-0.3,-1.02,-2.14,-2.26,14.1
1584,-0.17,-0.27,-1.0,2.38,-1.65,16.97
1604,-0.17,-0.23,-1.0,2.75,-3.78,16.72
1625,-0.16,-0.21,-0.97,2.56,-4.64,15.75
1646,-0.17,-0.21,-0.95,-0.24,-4.7,14.4
1667,-0.17,-0.2,-0.95,-2.32,-3.42,13.61
1687,-0.17,-0.18,-0.97,2.81,-0.18,15.01
1708,-0.17,-0.16,-0.99,2.26,0.06,13.49
1728,-0.17,-0.15,-0.98,1.53,-1.53,8.85
1749,-0.17,-0.16,-0.96,2.26,-1.71,4.7
1768,-0.15,-0.17,-0.97,1.77,-0.79,2.5
1789,-0.15,-0.18,-0.97,4.39,-0.98,1.22
1809,-0.14,-0.2,-0.95,3.91,-3.23,0.55
1830,-0.14,-0.21,-0.93,-0.79,-4.64,0.43
1850,-0.14,-0.21,-0.95,-2.38,-1.77,0.92
1870,-0.13,-0.21,-0.99,0.24,0.31,2.69
1889,-0.14,-0.21,-0.99,-0.61,-3.05,3.72
1909,-0.15,-0.2,-0.96,-0.49,-4.94,5.37
1929,-0.15,-0.19,-0.95,3.97,-1.53,7.2
1949,-0.15,-0.16,-0.95,3.91,1.28,4.46
1970,-0.14,-0.18,-0.97,1.46,0.43,0.31
1990,-0.14,-0.2,-0.98,1.34,0.31,-0.79
2010,-0.13,-0.21,-0.99,0.61,-0.12,-0.49
2031,-0.14,-0.22,-0.99,1.53,-1.71,0.85
