time,acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z
11,0.59,-0.16,-0.77,9.46,5.37,-0.43
30,0.6,-0.21,-0.81,9.46,3.66,0.67
49,0.58,-0.18,-0.78,2.81,0.43,6.47
68,0.53,-0.03,-0.74,-6.35,0.24,10.5
87,0.52,0.04,-0.72,0.37,5.19,-0.31
106,0.55,-0.06,-0.73,11.9,9.83,-15.01
125,0.51,-0.09,-0.8,0.31,2.87,-7.2
144,0.46,0.03,-0.71,-2.87,2.93,-11.41
163,0.37,0.12,-0.82,1.4,13.49,-15.08
182,0.34,0.32,-0.67,12.39,11.11,-22.28
201,0.32,0.27,-0.66,8.48,12.94,-54.2
220,0.35,0.02,-0.68,7.14,9.7,-72.39
240,0.44,-0.12,-0.67,25.27,14.53,-70.01
260,0.52,-0.19,-0.66,28.93,18.74,-68.42
280,0.52,-0.29,-0.75,20.75,18.68,-71.9
301,0.59,-0.54,-0.89,31.49,16.24,-71.41
322,0.67,-0.73,-0.96,58.65,13.98,-52.19
342,0.68,-0.66,-0.86,74.46,10.25,-21.3
362,0.65,-0.64,-0.88,58.53,10.62,-13.12
382,0.64,-0.76,-0.95,32.65,7.26,-14.47
402,0.63,-0.81,-0.96,32.1,5.98,-2.38
422,0.63,-0.8,-0.92,37.11,8.42,13.43
442,0.62,-0.72,-0.95,22.71,8.79,25.88
461,0.59,-0.64,-0.96,6.23,5.0,30.09
481,0.56,-0.61,-0.97,-7.69,3.36,30.94
501,0.55,-0.61,-0.99,-13.61,2.75,36.25
521,0.54,-0.53,-0.98,-12.21,0.43,50.54
542,0.51,-0.36,-0.91,-7.63,-2.08,63.6
563,0.48,-0.25,-0.86,-9.7,-0.85,66.96
584,0.47,-0.18,-0.86,-9.89,2.2,71.9
604,0.44,-0.02,-0.88,2.5,5.49,81.85
624,0.38,0.28,-0.86,1.1,1.1,79.59
644,0.35,0.4,-0.72,-23.86,-10.5,52.43
664,0.38,0.35,-0.73,-30.27,-2.32,32.35
684,0.34,0.41,-0.75,-14.65,4.88,31.13
704,0.22,0.61,-0.66,-24.41,1.83,21.61
724,0.21,0.6,-0.69,-37.96,7.39,-4.94
744,0.27,0.45,-0.74,-25.94,15.01,-24.9
765,0.31,0.38,-0.71,-15.2,15.26,-34.73
786,0.35,0.24,-0.69,-13.37,14.77,-47.42
808,0.39,0.06,-0.74,-8.24,18.68,-56.82
829,0.42,-0.01,-0.75,1.4,21.12,-59.08
850,0.48,-0.16,-0.83,-3.05,19.04,-64.58
871,0.53,-0.36,-0.91,5.19,19.17,-60.97
891,0.55,-0.39,-0.93,11.41,19.71,-54.14
911,0.59,-0.42,-1.0,14.22,19.84,-42.72
931,0.6,-0.5,-1.09,11.29,15.38,-33.02
952,0.56,-0.43,-1.07,16.54,5.07,-22.46
973,0.54,-0.41,-1.01,20.57,5.74,-19.23
993,0.54,-0.4,-1.01,16.66,8.12,-14.4
1014,0.52,-0.39,-1.06,8.24,4.76,-14.47
1035,0.54,-0.45,-1.12,9.16,-0.18,-11.23
1055,0.53,-0.42,-1.11,17.15,-8.12,-1.71
1075,0.48,-0.31,-1.01,26.37,-7.93,-0.43
1095,0.45,-0.24,-0.9,44.07,0.98,0.24
1116,0.46,-0.18,-0.88,31.25,4.39,-3.85
1137,0.47,-0.22,-0.96,6.59,-4.64,-10.44
1157,0.48,-0.27,-0.94,6.1,-8.3,-6.77
1177,0.48,-0.26,-0.91,16.91,-2.75,0.67
1197,0.46,-0.19,-0.88,14.47,-1.59,0.98
1217,0.44,-0.17,-0.86,8.24,-1.77,0.12
1237,0.44,-0.18,-0.86,4.7,-0.67,1.04
1257,0.44,-0.16,-0.85,2.56,0.55,1.89
1277,0.41,-0.12,-0.87,1.71,1.95,-2.87
1298,0.43,-0.18,-0.91,0.67,-0.43,-5.25
1318,0.46,-0.23,-0.88,2.14,-0.24,2.5
1339,0.43,-0.15,-0.87,3.6,2.14,8.06
1360,0.4,-0.09,-0.89,1.16,2.87,-1.04
1380,0.43,-0.21,-0.94,6.16,1.34,-4.46
1400,0.46,-0.25,-0.93,9.77,-1.4,7.87
1421,0.41,-0.1,-0.88,-9.58,-6.77,10.56
1442,0.37,0.02,-0.86,-14.1,-6.84,-0.12
1463,0.43,-0.1,-0.92,2.56,1.34,-11.47
1484,0.46,-0.21,-0.91,3.54,-1.28,-11.84
1505,0.47,-0.2,-0.85,-0.92,-4.27,-1.22
1525,0.46,-0.14,-0.87,1.77,2.01,5.37
1546,0.45,-0.13,-0.88,5.43,1.95,-0.67
1566,0.45,-0.17,-0.87,9.03,2.14,-4.15
1587,0.45,-0.13,-0.88,3.85,2.75,-1.46
1607,0.45,-0.15,-0.9,-5.92,2.14,-5.49
1628,0.45,-0.19,-0.91,2.32,5.68,-5.43
1648,0.46,-0.19,-0.92,8.67,6.65,-0.31
1669,0.45,-0.16,-0.92,1.95,3.6,3.17
1688,0.42,-0.12,-0.92,-3.42,0.98,1.34
1708,0.43,-0.12,-0.92,1.53,1.71,-3.6
1728,0.44,-0.15,-0.92,6.96,3.3,-6.71
1749,0.43,-0.16,-0.89,2.26,0.98,-5.86
1769,0.44,-0.17,-0.91,-4.09,1.28,-1.95
1789,0.44,-0.17,-0.94,0.43,2.75,2.01
1810,0.43,-0.16,-0.92,5.43,0.18,0.92
1830,0.43,-0.16,-0.89,7.75,0.24,1.65
1850,0.43,-0.12,-0.9,5.25,1.77,4.03
1871,0.44,-0.13,-0.91,1.22,0.67,0.0
1892,0.44,-0.17,-0.92,2.01,0.37,-3.78
1911,0.45,-0.16,-0.89,4.03,0.31,0.06
1931,0.44,-0.14,-0.9,3.66,2.38,4.09
1952,0.44,-0.13,-0.94,0.79,2.2,2.93
1973,0.43,-0.12,-0.93,-0.43,-1.1,-1.16
1993,0.43,-0.14,-0.91,4.09,-0.92,-3.23
2013,0.43,-0.14,-0.9,1.77,-0.61,-1.34
