time,acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z
10,-0.08,-0.13,0.9,23.13,20.87,18.8
34,-0.09,-0.05,1.07,28.87,13.18,26.55
58,-0.11,-0.05,1.2,15.32,33.51,22.89
82,-0.07,-0.09,1.06,16.97,43.33,24.84
106,-0.06,-0.09,0.94,34.06,31.31,33.87
130,-0.05,-0.03,1.08,46.87,3.05,45.29
154,0.02,0.06,1.58,27.22,18.19,33.33
178,0.18,-0.14,1.22,2.93,71.41,22.46
202,0.31,-0.12,0.7,4.15,35.77,23.13
226,0.22,-0.14,1.06,-2.87,-20.75,17.4
250,0.17,0.0,1.32,-16.85,-15.56,24.96
274,0.23,0.2,0.83,-14.16,-3.72,17.21
298,0.19,0.03,0.72,-5.68,-21.12,-3.42
322,0.12,-0.19,0.75,8.18,-48.77,-4.82
346,0.07,-0.08,1.32,12.7,-64.03,7.81
370,0.13,0.02,1.54,-0.85,2.62,2.93
394,0.17,0.0,1.06,-5.13,36.93,-10.19
418,0.2,-0.38,0.75,-4.39,20.63,-12.21
442,0.24,-0.32,0.85,10.38,-8.42,26.0
466,0.32,0.07,1.17,12.08,-11.66,31.01
490,0.39,-0.04,1.19,6.04,5.8,14.28
514,0.46,-0.14,1.02,-3.3,26.0,14.16
538,0.58,-0.08,0.69,-3.54,18.68,15.56
562,0.58,-0.16,0.61,6.9,-7.02,12.57
586,0.56,-0.09,0.92,23.93,-53.34,16.48
610,0.54,-0.08,1.36,11.35,-34.36,8.61
634,0.51,-0.18,1.12,-36.38,22.64,-0.18
658,0.48,-0.26,0.73,-61.71,31.8,-0.98
682,0.43,-0.33,0.46,-47.91,22.03,5.86
706,0.33,-0.31,0.51,-9.52,-57.92,32.41
730,0.23,-0.02,1.36,-23.86,-69.76,34.67
754,0.17,0.09,1.07,-15.75,-20.63,26.18
778,0.11,0.18,0.91,28.56,-31.62,10.74
802,-0.08,-0.23,1.29,12.7,-15.01,-10.68
826,-0.17,-0.39,0.82,8.36,21.55,14.28
850,-0.15,0.06,0.77,22.77,-13.79,38.27
874,-0.16,0.35,1.03,24.9,-30.4,32.17
898,-0.21,0.34,1.09,3.36,-16.6,-16.97
922,-0.32,-0.17,1.11,3.11,-2.32,-28.44
946,-0.35,-0.37,0.9,10.86,16.05,-12.21
970,-0.33,-0.27,0.79,-14.83,9.58,24.17
994,-0.23,0.13,0.87,-21.0,-3.6,28.14
1018,-0.14,0.27,0.93,-26.18,-10.74,-2.87
1042,-0.15,0.1,1.02,-29.91,-13.31,-24.54
1066,-0.18,-0.04,1.02,-18.25,-10.31,-26.18
1090,-0.16,-0.13,0.96,-4.27,-9.52,-14.16
1114,-0.11,0.0,1.1,-13.37,-15.81,-6.9
1138,-0.07,0.01,1.13,-10.8,-9.28,-9.16
1162,-0.09,-0.06,1.03,-7.87,-1.22,-11.72
1186,-0.06,-0.05,1.02,-6.16,-4.21,-6.23
1210,-0.02,-0.04,1.03,0.37,-7.51,-4.09
1234,-0.02,0.0,1.16,-10.25,-4.39,-3.54
1258,-0.02,-0.02,1.09,-15.62,8.73,-2.99
1282,-0.01,-0.03,0.97,-7.02,6.71,0.92
1306,-0.01,-0.02,1.04,-1.46,-2.44,0.12
1330,-0.01,0.0,1.16,-7.02,-1.28,0.43
1354,-0.01,0.09,1.07,7.93,10.31,-0.85
1378,-0.01,-0.01,0.92,11.66,5.55,-8.61
1402,-0.03,-0.14,0.99,-17.4,6.35,-4.15
1426,-0.01,-0.08,1.0,-22.58,10.19,8.97
1450,0.03,0.1,0.98,-8.18,3.23,7.69
1474,0.01,0.04,1.03,-3.3,0.67,-2.38
1498,-0.01,-0.03,1.02,-6.77,6.53,-3.48
1522,-0.01,-0.05,0.95,-2.69,7.57,-2.14
1546,0.01,-0.03,1.0,3.91,-0.55,2.56
1570,0.04,0.07,1.05,5.31,4.09,1.95
1593,0.04,0.03,0.98,4.76,8.48,-2.99
1617,0.03,-0.01,0.96,7.2,2.87,-2.81
1641,0.02,-0.01,0.98,6.16,0.98,-0.67
1665,0.02,-0.0,1.01,0.24,1.28,-1.77
1689,0.01,-0.02,1.0,3.48,1.83,-1.28
1713,0.01,0.0,1.0,6.77,0.12,-1.83
1737,0.01,-0.05,0.98,6.59,-0.24,-2.32
1761,0.01,-0.05,1.0,2.08,-2.38,1.83
1785,0.02,-0.02,0.99,-3.36,-0.18,4.46
1809,0.02,-0.02,0.98,5.92,-0.61,12.82
1833,0.02,0.01,1.01,6.23,3.97,15.08
1856,0.03,-0.01,0.97,0.06,6.29,11.41
1880,0.04,0.02,0.99,0.61,1.1,6.84
1903,0.04,0.03,0.98,0.92,-0.85,0.18
1927,0.03,0.0,1.01,0.49,-4.09,-4.15
1951,0.02,-0.02,1.03,4.94,-2.87,-1.22
1975,0.04,-0.02,1.03,2.69,1.59,-0.37
1999,0.04,-0.01,1.03,-8.67,4.88,-1.04
2023,0.03,-0.0,1.02,-5.19,3.17,-0.73
2047,0.03,-0.02,0.99,-0.37,1.59,-1.65
2071,0.04,-0.02,1.02,-0.49,-0.98,-1.1
2095,0.05,0.03,1.01,-6.47,5.68,-0.55
2119,0.06,0.05,0.95,-9.28,7.02,-2.62
2143,0.05,-0.0,0.96,-2.56,-1.65,-4.64
2167,0.05,-0.02,1.0,-2.01,-3.23,-0.43
2191,0.06,0.0,1.01,-4.39,-1.4,-1.28
2215,0.05,-0.02,1.03,-1.77,-1.53,-0.79
2239,0.06,-0.02,1.03,-0.18,2.69,3.48
2263,0.07,0.04,0.96,-3.36,4.76,4.39
2287,0.07,0.05,0.99,-2.69,-1.28,-0.49
2311,0.06,0.02,1.04,-2.32,-2.81,-4.03
2335,0.05,0.0,1.04,-2.62,2.01,-4.09
2359,0.04,-0.02,1.02,-0.67,1.59,-0.49
2383,0.05,0.01,1.01,-0.31,2.69,2.32
