time,acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z
10,0.3,0.12,-0.84,10.5,-2.99,1.16
30,0.3,0.08,-0.83,8.42,-0.85,-3.72
50,0.31,0.07,-0.84,2.87,0.67,-1.95
70,0.31,0.11,-0.85,-3.97,0.98,1.22
90,0.31,0.09,-0.88,-13.31,-0.85,-1.95
111,0.33,0.05,-0.91,-15.69,-3.54,-1.95
132,0.34,0.0,-0.86,-17.88,-5.98,1.34
152,0.32,0.0,-0.8,-17.88,4.33,9.95
171,0.31,0.1,-0.82,-16.11,18.13,12.51
191,0.29,0.0,-0.74,-25.15,16.78,-3.66
212,0.26,-0.13,-0.68,-31.92,21.36,-8.48
233,0.21,-0.1,-0.68,-11.35,30.58,0.98
254,0.21,-0.02,-0.74,-24.9,35.83,4.76
275,0.23,-0.16,-0.72,-29.24,31.37,-8.0
296,0.26,-0.35,-0.65,-15.99,43.88,3.6
317,0.26,-0.37,-0.73,-22.34,59.33,26.49
338,0.19,-0.33,-0.86,-25.51,67.26,38.88
359,0.17,-0.31,-1.0,-21.67,70.5,44.19
380,0.15,-0.31,-1.11,-24.17,64.88,46.51
400,0.19,-0.36,-1.17,-32.65,62.01,50.05
421,0.21,-0.4,-1.35,-34.55,60.67,59.81
441,0.18,-0.41,-1.53,-27.28,47.06,71.9
462,0.15,-0.32,-1.51,-29.66,30.4,82.03
483,0.1,-0.17,-1.55,-32.84,20.81,90.64
504,0.05,-0.06,-1.6,-44.43,8.3,90.76
524,0.01,0.04,-1.66,-48.65,-3.91,85.39
545,-0.02,0.19,-1.68,-27.16,-18.31,76.54
566,-0.02,0.26,-1.57,-13.79,-40.22,58.84
587,-0.01,0.29,-1.42,-14.83,-57.31,42.66
608,0.03,0.29,-1.3,-20.51,-65.12,28.81
629,0.08,0.22,-1.18,-22.28,-67.5,17.15
650,0.11,0.15,-1.08,-19.78,-67.2,11.29
670,0.13,0.12,-0.97,-21.3,-67.63,10.8
691,0.14,0.09,-0.86,-17.94,-63.48,11.11
712,0.16,0.1,-0.75,-6.29,-56.7,9.28
732,0.17,0.09,-0.64,-1.95,-50.72,1.89
752,0.2,0.04,-0.53,-3.54,-43.03,-4.09
773,0.22,-0.0,-0.46,-1.04,-34.0,-4.52
794,0.21,-0.0,-0.38,3.91,-24.48,-1.95
814,0.18,0.05,-0.26,4.09,-15.69,-1.04
835,0.16,0.12,-0.12,-10.8,-3.97,-5.55
856,0.14,0.14,-0.08,-28.69,14.47,-15.99
876,0.14,0.09,-0.16,-29.17,35.52,-26.98
895,0.14,-0.0,-0.25,-7.08,54.26,-30.82
916,0.14,-0.08,-0.29,8.36,66.83,-27.71
936,0.12,-0.1,-0.33,3.66,71.04,-21.18
956,0.05,-0.08,-0.35,-5.25,78.74,-17.33
977,0.02,-0.09,-0.44,-7.26,93.2,-18.19
998,-0.03,-0.12,-0.77,-1.22,103.82,-16.78
1019,-0.05,-0.13,-1.01,-3.97,105.53,-19.23
1040,-0.05,-0.21,-1.24,-16.78,100.71,-26.0
1061,-0.02,-0.27,-1.48,-9.46,97.23,-25.76
1082,0.0,-0.26,-1.67,12.39,89.97,-16.24
1102,-0.01,-0.2,-1.81,15.93,75.62,-9.4
1122,-0.02,-0.2,-1.87,5.74,56.09,-14.59
1143,-0.01,-0.26,-1.77,13.61,39.25,-18.86
1164,-0.0,-0.26,-1.63,30.58,31.92,-11.96
