time,acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z
11,0.52,-0.07,-0.72,5.92,-15.56,-6.41
30,0.48,0.08,-0.62,1.04,-14.22,-3.05
49,0.43,0.27,-0.53,-3.11,-0.98,-11.9
68,0.42,0.16,-0.55,13.0,20.26,-33.33
87,0.38,0.04,-0.52,12.63,29.17,-29.85
106,0.29,-0.03,-0.15,-29.48,39.31,-23.44
125,0.22,-0.02,0.0,-59.08,76.17,-30.46
145,0.08,-0.05,0.33,-70.62,150.94,-47.61
164,-0.07,-0.1,0.26,-80.63,261.66,-59.81
184,-0.26,-0.27,-0.39,-14.71,318.54,-58.35
204,-0.27,-0.61,-0.86,9.34,313.66,-54.2
223,-0.25,-0.74,-1.12,-10.25,277.53,-21.0
242,-0.23,-0.52,-1.13,-9.46,268.37,0.43
262,-0.29,-0.29,-1.33,13.24,278.75,33.87
282,-0.34,-0.2,-1.75,9.52,273.56,42.48
301,-0.3,-0.31,-2.11,-32.96,220.03,36.68
320,-0.26,-0.37,-2.29,-38.39,145.57,48.4
339,-0.27,-0.22,-2.22,0.79,74.28,76.84
358,-0.25,-0.11,-2.12,6.35,13.12,90.7
377,-0.22,0.06,-2.0,0.67,-27.53,90.15
396,-0.22,0.11,-1.92,14.47,-60.91,86.85
415,-0.17,-0.02,-1.87,10.68,-99.85,84.41
434,-0.18,-0.11,-1.73,5.07,-121.83,86.24
453,-0.19,-0.05,-1.56,1.22,-159.12,91.19
472,-0.26,0.03,-1.33,18.74,-184.51,89.48
491,-0.2,0.06,-1.16,29.54,-191.59,77.15
510,-0.12,0.05,-1.27,16.05,-185.73,60.24
529,-0.12,0.03,-1.33,11.54,-199.65,45.29
549,-0.16,-0.01,-1.23,10.5,-226.32,34.97
569,-0.14,-0.03,-0.95,7.08,-231.93,29.6
590,-0.07,-0.02,-0.73,3.48,-217.1,24.29
610,0.07,-0.06,-0.67,0.55,-198.12,18.49
630,0.12,-0.08,-0.62,-30.64,-192.32,24.48
650,0.19,-0.01,-0.52,-54.57,-186.65,24.11
669,0.24,0.04,-0.41,-54.26,-171.51,18.01
689,0.28,0.08,-0.27,-45.35,-151.73,14.16
709,0.35,0.05,-0.15,-45.53,-122.68,9.16
729,0.41,-0.04,-0.18,-49.32,-90.76,14.95
748,0.42,-0.01,-0.2,-42.54,-76.54,23.68
767,0.41,0.14,-0.11,-16.66,-47.3,36.93
787,0.41,0.19,-0.05,3.66,-8.06,15.5
807,0.37,0.12,-0.12,-7.39,25.94,-19.59
827,0.37,0.08,-0.13,-47.67,41.69,-46.57
847,0.37,0.01,-0.13,-72.27,69.76,-70.86
867,0.31,-0.17,-0.2,-48.52,128.05,-89.54
886,0.16,-0.25,-0.15,-29.05,186.77,-94.73
906,0.01,-0.17,-0.29,-51.21,249.27,-103.33
926,-0.27,-0.09,-0.76,-13.06,334.41,-132.69
946,-0.58,-0.11,-1.17,57.07,391.36,-170.59
966,-0.47,-0.57,-1.74,109.62,410.34,-203.37
986,-0.15,-1.15,-2.15,156.49,366.39,-159.0
1007,-0.08,-0.9,-1.85,114.99,237.18,-12.51
1027,-0.15,-0.23,-1.59,12.51,146.85,43.21
1047,-0.23,0.11,-1.33,-34.61,98.08,6.23
1068,-0.28,0.21,-1.09,2.99,86.24,-19.35
1088,-0.34,0.18,-1.16,74.4,116.09,-39.37
1108,-0.27,-0.1,-1.33,92.22,128.11,-72.75
1128,-0.22,-0.42,-1.48,55.66,102.72,-78.98
1149,-0.22,-0.48,-1.49,13.67,54.38,-42.24
1169,-0.3,-0.31,-1.26,-1.1,15.2,3.6
1189,-0.33,-0.14,-1.16,-11.41,5.13,22.71
1209,-0.37,-0.07,-1.12,-12.63,0.73,23.86
1230,-0.41,-0.01,-1.01,-6.71,-3.54,19.35
1249,-0.41,-0.01,-0.98,1.71,0.49,6.9
1268,-0.39,-0.03,-1.01,4.15,1.65,-6.77
1288,-0.38,-0.1,-0.99,-1.16,-6.1,-11.9
1308,-0.36,-0.13,-0.9,-2.99,-6.1,-8.85
1329,-0.34,-0.15,-0.91,-0.24,-3.05,-6.16
1350,-0.36,-0.19,-0.92,-3.72,-6.04,-2.44
1370,-0.38,-0.14,-0.9,-3.3,-6.96,3.85
1390,-0.38,-0.08,-0.91,0.85,-4.33,5.13
1410,-0.38,-0.07,-0.92,-0.12,-4.46,-1.16
1430,-0.38,-0.11,-0.9,0.55,-5.25,-5.43
1451,-0.37,-0.14,-0.9,0.67,-2.5,-4.64
1472,-0.35,-0.13,-0.98,-0.85,-3.6,-2.5
1493,-0.37,-0.11,-0.96,3.97,-10.86,-0.06
1513,-0.38,-0.1,-0.91,10.01,-12.51,-1.89
1534,-0.37,-0.11,-0.89,10.19,-9.03,-2.75
1554,-0.34,-0.12,-0.9,4.64,-6.53,0.18
1573,-0.34,-0.13,-0.92,5.98,-2.62,4.33
1593,-0.35,-0.09,-0.95,15.2,0.55,7.08
1613,-0.36,-0.06,-0.94,16.97,-2.87,5.19
1633,-0.35,-0.06,-0.91,10.13,-5.37,1.1
1652,-0.34,-0.07,-0.91,4.82,-3.66,-3.3
1671,-0.34,-0.11,-0.94,3.6,-2.08,-2.01
1690,-0.35,-0.11,-0.93,5.98,-0.73,1.77
1709,-0.34,-0.09,-0.94,8.24,0.43,2.75
1729,-0.34,-0.08,-0.94,6.77,-1.77,1.34
1749,-0.35,-0.1,-0.93,0.73,-4.52,-1.46
1769,-0.33,-0.11,-0.95,1.04,-2.81,-1.83
1788,-0.32,-0.12,-0.95,4.88,-2.56,-0.49
1807,-0.32,-0.12,-0.95,5.86,-3.36,1.83
1827,-0.34,-0.1,-0.94,2.5,-5.43,3.3
1847,-0.35,-0.08,-0.91,-2.26,-5.13,3.11
1867,-0.33,-0.08,-0.93,-3.85,-2.32,-0.43
1887,-0.32,-0.1,-0.94,-1.46,-2.32,-1.53
1907,-0.33,-0.09,-0.95,3.42,-2.5,0.49
1927,-0.33,-0.09,-0.93,2.99,-3.97,0.12
1947,-0.33,-0.11,-0.93,-2.56,-3.36,-1.16
1968,-0.33,-0.09,-0.94,-4.27,-2.38,0.49
