time,acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z
3,0.3,0.52,-0.69,17.94,-6.35,-1.59
11,0.32,0.5,-0.65,21.91,-1.83,-3.66
19,0.32,0.51,-0.66,25.21,-2.62,-5.68
27,0.27,0.49,-0.68,30.64,-2.44,-9.89
35,0.24,0.51,-0.71,32.96,-4.15,-10.93
43,0.18,0.5,-0.77,36.68,-6.84,-10.74
51,0.16,0.5,-0.8,37.66,-5.13,-9.22
59,0.18,0.48,-0.87,36.19,1.95,-4.52
67,0.24,0.5,-0.84,31.31,13.98,-0.92
75,0.27,0.48,-0.81,29.24,16.78,-0.55
83,0.32,0.47,-0.74,27.77,15.5,-2.08
91,0.36,0.46,-0.72,28.14,12.21,-4.03
99,0.41,0.44,-0.66,30.88,3.36,-11.78
107,0.42,0.41,-0.6,35.95,-6.71,-21.48
115,0.43,0.4,-0.58,39.37,-10.38,-25.76
123,0.42,0.38,-0.57,47.18,-10.5,-32.53
131,0.4,0.37,-0.56,51.27,-6.59,-35.03
139,0.33,0.36,-0.52,61.04,-0.49,-38.76
147,0.3,0.36,-0.52,66.83,-1.71,-39.61
155,0.24,0.35,-0.64,77.51,-4.27,-40.28
163,0.2,0.33,-0.67,82.52,3.48,-37.72
171,0.21,0.32,-0.65,84.9,6.47,-35.64
179,0.27,0.29,-0.63,91.74,7.08,-34.55
187,0.3,0.29,-0.59,95.64,7.02,-35.58
195,0.39,0.25,-0.48,106.2,7.14,-40.41
203,0.54,0.2,-0.31,121.77,3.3,-50.78
211,0.55,0.18,-0.32,131.65,-2.87,-57.68
219,0.6,0.13,-0.35,153.63,-2.38,-76.66
227,0.54,0.13,-0.45,163.51,-5.19,-85.21
235,0.42,0.1,-0.75,177.49,10.86,-96.56
243,0.34,0.09,-0.83,179.69,29.17,-98.51
251,0.1,0.09,-0.98,180.54,54.44,-95.76
259,-0.09,0.11,-1.15,178.41,66.77,-84.23
267,-0.12,0.13,-1.21,175.6,69.09,-76.23
275,-0.11,0.2,-1.43,165.04,53.47,-63.9
283,-0.12,0.24,-1.59,156.31,45.1,-59.63
291,-0.14,0.26,-1.8,127.01,38.82,-51.27
299,-0.14,0.29,-1.8,109.56,33.08,-47.79
307,-0.14,0.27,-1.68,78.74,9.7,-43.88
315,-0.13,0.23,-1.43,57.37,-24.78,-43.09
323,-0.14,0.22,-1.31,51.51,-40.41,-42.66
331,-0.15,0.22,-1.21,47.67,-64.64,-39.61
339,-0.18,0.2,-1.22,46.81,-72.27,-37.11
347,-0.23,0.18,-1.26,43.46,-68.97,-28.5
355,-0.25,0.17,-1.27,39.98,-47.12,-16.24
363,-0.25,0.17,-1.26,38.15,-33.94,-10.56
371,-0.29,0.16,-1.26,36.07,-13.79,-1.28
379,-0.35,0.17,-1.29,35.83,-9.03,2.87
387,-0.5,0.19,-1.5,30.88,-4.82,15.62
395,-0.56,0.21,-1.63,23.74,2.75,25.63
403,-0.63,0.2,-1.74,0.73,34.73,50.35
411,-0.66,0.2,-1.62,-23.68,54.2,75.68
419,-0.68,0.16,-1.54,-32.23,52.8,86.49
427,-0.68,0.12,-1.39,-42.48,26.12,104.43
435,-0.67,0.11,-1.36,-45.84,7.2,112.79
443,-0.61,0.1,-1.34,-53.16,-20.08,130.68
451,-0.52,0.1,-1.36,-65.37,-18.25,150.57
459,-0.46,0.08,-1.32,-73.43,-9.89,160.22
467,-0.34,0.08,-1.22,-86.67,6.84,176.57
475,-0.23,0.09,-1.19,-92.1,13.49,182.92
483,0.03,0.07,-1.05,-101.99,24.72,189.94
491,0.2,0.08,-0.97,-104.74,24.6,189.39
499,0.51,0.04,-0.84,-103.52,13.61,177.06
507,0.8,0.05,-0.7,-95.52,-8.91,153.26
515,0.89,0.06,-0.68,-88.38,-20.32,137.63
523,0.85,0.08,-0.77,-76.54,-22.83,108.95
531,0.76,0.08,-0.84,-74.22,-12.82,100.1
539,0.58,0.07,-0.93,-74.89,24.9,93.08
547,0.52,0.09,-0.88,-76.84,52.25,90.21
555,0.52,0.1,-0.85,-75.68,56.15,86.55
563,0.55,0.12,-0.79,-71.41,46.75,74.71
571,0.59,0.12,-0.78,-68.24,35.4,67.08
579,0.69,0.15,-0.8,-62.87,10.8,50.29
587,0.71,0.14,-0.8,-61.65,5.68,41.63
595,0.64,0.13,-0.75,-58.78,3.66,26.61
603,0.54,0.14,-0.73,-52.0,4.46,19.65
611,0.53,0.14,-0.74,-48.28,8.0,18.68
619,0.5,0.18,-0.79,-42.05,16.48,17.03
627,0.51,0.21,-0.84,-39.86,22.52,17.03
635,0.53,0.23,-0.9,-39.79,36.25,14.59
643,0.52,0.23,-0.88,-40.95,37.11,11.35
651,0.5,0.22,-0.78,-40.16,26.31,2.44
659,0.49,0.21,-0.68,-34.79,8.48,-7.26
667,0.48,0.21,-0.63,-30.64,0.98,-12.15
675,0.39,0.21,-0.57,-19.47,-8.18,-19.9
683,0.34,0.22,-0.57,-13.79,-11.23,-21.06
691,0.27,0.23,-0.59,-3.54,-7.26,-19.04
699,0.23,0.23,-0.57,5.98,3.48,-14.4
707,0.23,0.24,-0.57,11.17,5.68,-11.78
715,0.3,0.22,-0.55,22.16,9.22,-8.24
723,0.34,0.22,-0.51,28.2,8.67,-8.79
731,0.4,0.19,-0.39,43.09,4.76,-14.53
739,0.44,0.18,-0.34,52.31,1.65,-17.94
747,0.51,0.13,-0.23,73.18,2.38,-26.55
755,0.58,0.06,-0.08,98.51,6.04,-38.02
763,0.62,0.03,-0.01,113.77,4.15,-45.47
771,0.68,-0.09,0.1,148.38,-5.31,-65.19
779,0.67,-0.16,0.19,168.58,-10.38,-77.03
787,0.66,-0.3,0.38,218.99,-31.13,-101.75
795,0.52,-0.49,0.24,276.18,-61.65,-126.22
803,0.36,-0.59,0.1,301.76,-62.5,-134.16
811,0.16,-0.73,-0.21,344.06,-34.73,-133.79
819,0.14,-0.74,-0.41,360.96,-8.79,-127.93
