time,acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z
11,0.41,-0.1,-0.93,-8.3,-8.24,18.49
31,0.36,0.06,-0.91,-2.56,-9.83,19.9
51,0.34,0.17,-0.82,4.46,-2.5,6.47
71,0.33,0.2,-0.85,7.32,-0.37,2.81
91,0.27,0.33,-0.88,6.35,-2.2,-3.85
111,0.23,0.32,-0.9,-0.92,-6.35,-18.37
131,0.24,0.37,-0.74,5.86,-8.06,-21.85
150,0.2,0.44,-0.58,4.76,7.57,-28.38
170,0.16,0.37,-0.85,-2.5,40.89,-42.42
190,0.19,0.33,-0.88,-2.2,31.92,-51.45
209,0.25,0.2,-0.76,-5.43,15.56,-63.42
228,0.28,0.07,-0.74,-2.99,16.17,-69.76
248,0.28,0.04,-0.77,12.51,28.69,-66.41
267,0.27,0.02,-0.81,18.43,38.15,-66.16
287,0.29,-0.06,-0.9,5.8,36.93,-69.82
307,0.3,-0.19,-0.97,0.85,31.86,-69.64
327,0.31,-0.26,-0.95,8.06,35.46,-62.99
347,0.32,-0.28,-0.99,7.93,38.64,-57.8
367,0.36,-0.41,-1.04,-1.83,36.01,-54.81
387,0.38,-0.54,-1.11,2.75,32.59,-42.6
407,0.39,-0.58,-1.12,15.26,32.35,-23.86
427,0.39,-0.54,-1.11,10.13,28.2,-12.21
447,0.38,-0.52,-1.13,-0.73,22.03,-9.4
467,0.39,-0.58,-1.12,-2.56,19.9,-2.75
487,0.41,-0.67,-1.16,-3.6,16.85,13.85
507,0.39,-0.61,-1.13,-4.03,12.08,28.63
527,0.36,-0.52,-1.07,-2.99,9.95,37.29
547,0.32,-0.42,-1.05,-7.02,7.32,38.51
567,0.3,-0.39,-1.05,-12.15,5.19,39.67
587,0.3,-0.41,-1.04,-12.63,4.88,42.54
607,0.27,-0.37,-1.01,-11.6,5.55,52.86
627,0.24,-0.29,-1.01,-14.04,5.68,61.16
647,0.22,-0.18,-1.0,-15.08,3.48,66.35
666,0.2,-0.08,-1.01,-13.55,2.38,67.2
686,0.18,0.01,-1.03,-11.66,2.93,66.65
706,0.16,0.06,-1.02,-8.97,2.2,64.39
725,0.16,0.06,-1.0,-17.15,-1.22,60.73
745,0.14,0.18,-0.98,-12.27,0.37,63.17
765,0.11,0.31,-0.97,3.54,4.7,61.71
785,0.09,0.37,-0.95,2.08,1.77,51.09
804,0.05,0.41,-0.91,-17.76,-4.76,36.32
824,0.03,0.47,-0.86,-20.75,-4.27,25.21
844,0.03,0.47,-0.85,-8.18,2.75,13.92
864,0.05,0.43,-0.8,-5.55,5.19,2.81
884,0.05,0.41,-0.73,-11.29,5.74,-10.38
904,0.05,0.35,-0.68,-8.54,11.84,-19.1
924,0.07,0.29,-0.71,-4.52,17.09,-21.67
944,0.05,0.33,-0.72,-40.47,8.97,-38.02
964,0.03,0.28,-0.71,-65.31,14.22,-56.82
983,0.08,0.13,-0.87,-21.06,39.43,-59.2
1002,0.12,-0.05,-1.05,4.64,43.88,-58.96
1022,0.15,-0.15,-1.08,6.04,40.34,-55.97
1042,0.12,-0.1,-1.08,3.36,36.32,-48.1
1063,0.12,-0.16,-1.12,2.75,36.38,-52.12
1084,0.14,-0.33,-1.14,15.62,39.55,-44.19
1104,0.13,-0.34,-1.14,16.11,39.67,-36.19
1123,0.13,-0.29,-1.16,13.73,36.93,-34.61
1143,0.13,-0.28,-1.18,12.33,27.53,-32.04
1163,0.13,-0.31,-1.14,15.62,18.37,-31.07
1183,0.15,-0.36,-1.08,14.71,14.16,-33.39
1204,0.17,-0.43,-1.06,4.15,8.06,-33.33
1225,0.15,-0.45,-1.01,3.54,7.45,-18.37
1245,0.14,-0.43,-1.11,11.29,15.14,-6.84
1266,0.11,-0.31,-1.11,0.24,9.52,-8.54
1286,0.11,-0.28,-1.09,-8.85,11.9,-11.29
1306,0.12,-0.31,-1.14,-5.07,9.52,-0.49
1326,0.11,-0.27,-1.11,-2.14,4.76,8.91
1347,0.07,-0.2,-1.07,-0.43,6.04,7.87
1367,0.05,-0.14,-1.05,0.37,6.71,5.98
1387,0.06,-0.1,-1.03,4.94,8.73,6.53
1407,0.06,-0.12,-1.04,6.59,6.96,7.39
1427,0.05,-0.14,-1.06,5.37,3.48,9.22
1448,0.03,-0.12,-1.04,11.72,2.38,10.8
1469,0.04,-0.08,-0.99,15.62,1.53,8.91
1490,0.02,-0.05,-0.98,16.05,-1.65,3.72
1511,0.01,-0.08,-0.96,10.68,-2.01,0.61
1531,0.02,-0.14,-0.95,2.01,-0.49,3.17
1552,0.04,-0.15,-0.97,0.98,0.49,8.97
1573,0.02,-0.04,-0.98,7.2,-1.59,13.49
1594,0.02,-0.02,-0.96,7.63,-1.4,6.29
1614,0.04,-0.12,-0.99,0.49,2.62,-2.2
1634,0.05,-0.17,-1.03,-0.92,4.64,1.83
1654,0.03,-0.11,-1.0,5.13,3.48,11.17
1674,0.02,-0.07,-0.99,9.52,5.25,13.24
1694,0.02,-0.05,-1.0,6.77,4.33,8.06
1714,0.02,-0.06,-1.02,1.77,3.36,2.62
1733,0.04,-0.1,-1.02,0.79,2.38,2.5
1752,0.04,-0.11,-1.01,-1.95,1.16,4.94
1771,0.04,-0.07,-1.01,-3.66,-0.06,3.78
1791,0.02,-0.05,-1.01,-2.87,-0.49,1.65
1811,0.03,-0.08,-0.99,-0.67,0.85,-2.44
1831,0.05,-0.12,-1.02,-0.98,2.5,-1.28
1851,0.04,-0.09,-1.01,-1.04,1.22,2.69
1871,0.02,-0.05,-1.02,-0.79,0.49,1.71
1892,0.01,-0.05,-1.0,1.71,-0.55,-3.48
1915,0.04,-0.12,-1.0,-1.89,0.85,-4.46
1935,0.05,-0.13,-1.02,-1.89,-1.04,1.53
1956,0.04,-0.07,-1.0,1.53,-0.55,2.14
1976,0.03,-0.05,-1.02,2.5,-0.55,-1.46
1996,0.04,-0.08,-1.01,-1.22,-1.16,-3.23
