time,acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z
11,0.17,-0.07,1.13,13.98,-8.67,-3.11
35,0.19,-0.05,1.07,8.61,-0.55,1.65
59,0.2,0.0,1.0,1.77,5.74,3.23
83,0.21,0.01,0.9,-0.67,4.58,0.12
107,0.22,-0.05,0.94,6.04,-4.46,1.1
131,0.24,-0.02,0.98,4.64,-4.58,4.7
155,0.25,0.04,0.94,-3.3,-0.06,3.72
179,0.25,0.03,0.95,-0.73,-1.95,-0.55
203,0.24,0.0,0.9,0.79,-4.7,-2.99
227,0.23,-0.0,0.93,7.93,-14.16,-3.54
251,0.21,-0.04,1.06,10.44,-14.4,-4.39
275,0.21,-0.07,1.04,1.89,-2.93,-3.36
299,0.23,-0.07,0.95,1.04,-3.6,-2.26
323,0.28,-0.1,0.99,7.63,-10.19,-0.12
347,0.36,-0.13,0.98,10.5,-9.46,6.53
371,0.5,-0.18,0.93,4.46,-14.65,14.95
395,0.67,-0.07,1.07,-9.83,-14.16,23.74
419,0.79,-0.05,1.11,-37.66,4.46,9.09
443,0.83,-0.33,0.97,-54.14,8.0,7.45
467,0.84,-0.18,0.99,-13.06,-10.38,40.53
491,0.83,-0.07,0.76,34.42,-22.09,45.84
515,0.8,0.12,0.7,77.21,-51.51,51.15
539,0.72,0.37,1.15,53.1,-86.43,21.48
563,0.62,0.07,1.69,-26.43,-29.3,-24.78
587,0.54,-0.35,0.9,-48.16,31.49,-41.75
611,0.33,-0.0,0.72,3.17,-26.31,-4.27
635,-0.02,0.13,1.05,9.22,-36.25,-20.75
659,-0.21,-0.16,1.17,-21.85,-35.46,-21.79
683,-0.42,-0.05,1.26,-63.05,-10.5,13.12
707,-0.54,0.33,1.12,-84.78,22.83,40.16
731,-0.58,0.54,0.69,-32.04,32.1,9.89
755,-0.55,0.3,0.82,-53.34,-16.36,-22.58
779,-0.56,0.14,1.15,-72.27,-27.22,-36.93
803,-0.42,0.05,0.97,-19.65,3.85,-41.56
827,-0.36,-0.15,0.84,17.03,-4.03,-50.84
851,-0.39,-0.45,0.84,13.31,-16.11,-28.38
875,-0.22,-0.25,1.13,16.72,-17.33,10.56
899,-0.17,-0.13,0.91,32.65,7.32,31.98
923,-0.19,0.05,0.8,-10.13,-1.46,58.53
947,-0.09,0.48,1.04,1.95,-3.6,51.09
971,-0.05,0.38,0.85,27.59,10.13,20.69
995,-0.07,0.22,0.9,-10.01,-9.83,-3.78
1019,-0.04,-0.03,1.22,-9.22,7.75,-7.26
1043,-0.05,-0.09,0.72,2.87,30.33,10.31
1067,0.01,0.22,0.82,-8.0,-7.75,19.47
1091,0.05,0.2,0.88,-2.93,-13.67,7.51
1115,0.04,0.12,0.84,-6.84,-35.22,-0.92
1139,0.03,0.15,1.33,-1.16,-38.57,-5.62
1163,0.02,0.0,1.24,10.86,-6.23,-12.15
1187,0.02,-0.03,0.93,-5.55,12.33,-0.85
1211,0.0,0.1,0.99,-14.4,-4.27,2.2
1235,0.02,0.02,1.02,3.05,-2.62,0.43
1259,0.04,0.04,0.91,4.03,-4.15,9.22
1283,0.05,0.2,1.06,-4.33,-13.79,15.26
1307,0.06,0.25,1.16,0.37,1.71,5.19
1331,0.06,0.16,0.82,5.49,8.36,-2.62
1355,0.05,0.12,0.91,5.07,-15.2,-4.94
1379,0.03,0.08,1.17,2.56,-23.01,-5.25
1403,0.03,0.03,1.14,7.14,0.0,-2.93
1427,0.03,0.07,0.92,-0.92,9.28,4.46
1451,0.03,0.16,0.95,-2.44,-5.25,2.38
