time,acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z
11,0.11,0.03,1.01,9.58,0.37,9.7
34,0.09,-0.01,0.98,-8.97,1.04,7.75
58,0.08,0.02,1.08,-4.94,0.43,9.83
82,0.1,0.06,1.05,13.79,2.01,13.55
106,0.12,0.16,0.97,7.63,5.74,11.54
130,0.14,0.13,0.92,-8.67,4.52,3.66
154,0.14,0.09,0.94,-5.49,-3.36,-4.82
178,0.11,-0.06,1.05,8.18,-6.47,-5.31
202,0.1,-0.06,1.05,13.55,-2.69,-1.65
226,0.09,-0.11,0.93,-13.18,6.35,-2.69
250,0.06,-0.14,0.92,-29.42,1.1,1.71
274,0.06,-0.17,1.02,-10.25,-6.47,5.07
298,0.01,-0.2,1.04,13.12,-4.15,11.29
322,0.03,-0.22,0.85,-7.14,-0.06,5.07
346,0.02,-0.43,1.0,-6.29,-27.71,-5.43
370,-0.08,-0.82,1.47,29.66,-32.71,4.15
394,-0.16,-0.83,1.37,25.51,-4.7,30.15
418,-0.19,-0.58,1.25,-25.76,14.53,48.1
442,-0.21,-0.89,1.31,4.82,12.02,38.15
466,-0.27,-1.09,1.32,28.5,14.83,65.37
490,-0.32,-0.69,1.24,-3.85,41.32,130.92
514,-0.32,-0.37,1.01,17.58,41.56,138.79
538,-0.34,-0.34,0.94,57.56,33.57,156.31
562,-0.29,-0.1,0.65,14.59,34.91,161.62
586,-0.24,-0.04,0.76,-6.59,20.45,166.14
610,-0.19,0.34,0.85,25.21,12.21,179.14
634,-0.08,0.66,0.76,34.67,14.83,161.74
658,-0.01,0.58,0.73,18.74,9.95,142.76
682,-0.0,0.61,0.87,-4.09,0.0,134.03
706,0.06,0.74,0.95,9.22,5.49,132.39
730,0.14,0.92,0.73,-2.75,8.79,115.6
754,0.19,0.98,0.9,-28.08,-11.17,83.68
778,0.17,0.73,1.1,-27.34,-13.43,53.47
802,0.15,0.57,0.97,-8.06,0.49,40.16
826,0.13,0.47,1.02,-10.38,-10.07,34.67
850,0.13,0.39,1.13,-14.34,-8.18,30.82
874,0.11,0.42,1.11,-10.62,8.0,32.71
898,0.16,0.5,0.98,-1.65,9.95,23.5
922,0.17,0.39,0.96,-0.92,6.47,4.94
946,0.16,0.32,0.94,-6.53,2.69,-0.12
970,0.14,0.25,1.0,-1.16,-0.92,-0.79
994,0.14,0.28,1.0,6.47,-0.92,-1.59
1018,0.15,0.21,0.94,5.25,-0.37,-9.64
1042,0.13,0.12,0.99,-3.3,-5.98,-11.96
1066,0.14,0.08,1.05,4.76,-5.43,-5.0
1090,0.15,0.19,0.97,6.77,-2.5,0.37
1114,0.14,0.21,1.03,3.11,-5.19,-10.07
1138,0.14,0.08,1.06,6.65,1.28,-11.78
1162,0.16,0.06,0.93,6.04,4.94,-6.65
1186,0.17,0.11,0.92,-4.46,-2.81,-5.8
1210,0.17,0.06,1.04,-3.54,-5.62,-6.47
1234,0.19,0.05,1.0,4.76,0.18,-1.77
1258,0.21,0.14,0.9,1.4,-1.59,2.56
1282,0.19,0.19,0.98,3.78,-7.51,-4.39
1306,0.17,0.1,0.98,10.86,-7.02,-12.33
1330,0.14,0.02,0.97,1.22,-7.75,-15.5
1354,0.14,0.0,1.08,-1.77,-8.42,-12.7
1378,0.14,0.02,1.04,-1.34,1.28,-8.85
1402,0.12,0.01,1.02,0.06,-0.37,-7.57
1426,0.15,0.01,0.98,0.92,3.42,-3.6
1450,0.18,0.07,0.88,-4.94,2.81,1.28
1474,0.17,0.16,1.0,-4.7,-6.84,-1.59
1498,0.16,0.1,1.03,0.06,-3.66,-7.26
1522,0.15,0.07,0.95,3.6,-1.77,-7.2
1546,0.13,0.05,1.02,1.65,-6.04,-7.26
1570,0.14,0.02,1.04,-4.46,1.34,-4.21
1594,0.15,0.1,0.99,-5.43,1.83,-1.34
1618,0.15,0.13,1.03,-1.1,-1.46,-2.93
1642,0.15,0.08,1.0,4.33,4.03,-7.02
1666,0.16,0.03,0.93,-3.11,2.26,-5.25
1690,0.16,0.07,1.01,-6.65,-2.99,-2.69
1714,0.15,0.1,0.98,-3.54,1.89,-2.75
1738,0.16,0.07,0.93,2.87,-2.38,-4.15
1762,0.16,0.08,1.01,0.37,-8.06,-4.88
1786,0.13,0.09,1.03,-0.12,-1.04,-4.82
1810,0.13,0.1,0.91,-0.73,3.11,-5.55
1834,0.14,0.05,0.94,0.92,-10.25,-7.51
1858,0.13,0.04,1.11,4.52,-10.19,-3.42
1882,0.14,0.11,1.06,3.05,-0.24,-0.12
1906,0.14,0.1,0.94,0.37,1.59,-3.42
1930,0.14,0.07,1.01,-0.73,-6.65,-3.91
1954,0.13,0.1,1.09,5.0,-3.17,-1.83
1978,0.13,0.12,1.03,6.59,4.21,-4.94
2002,0.14,0.03,0.94,4.33,3.36,-8.48
2026,0.13,0.02,0.98,-9.95,0.0,-6.84
2050,0.13,0.0,1.03,-8.12,0.24,-2.69
2074,0.13,0.07,1.0,-2.81,2.93,2.93
2098,0.14,0.1,0.95,-4.64,2.26,3.11
2122,0.15,0.09,0.98,-1.53,-2.81,2.99
2146,0.16,0.12,1.02,-1.59,-1.89,3.85
2170,0.16,0.16,1.0,-1.71,-0.61,0.73
2194,0.14,0.12,0.99,0.85,-1.53,-3.6
2218,0.14,0.07,0.98,-0.92,-2.93,-4.27
2242,0.13,0.08,1.08,0.67,-5.43,-2.62
2266,0.13,0.09,1.07,3.6,-0.37,-2.08
2290,0.13,0.08,0.99,4.09,4.52,-3.11
2314,0.14,0.05,0.97,7.2,-0.55,-2.81
2338,0.13,0.06,1.04,1.83,-1.65,-0.55
2362,0.13,0.06,1.07,-0.37,4.46,0.24
2386,0.13,0.08,0.97,2.99,7.51,3.11
