time,acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z
3,-0.79,-0.15,-0.18,6.96,-39.25,-23.68
11,-0.66,-0.14,0.2,3.85,-45.78,-28.32
19,-0.77,-0.14,0.09,4.03,-62.68,-41.5
27,-0.81,-0.13,0.07,2.38,-68.6,-54.57
35,-0.9,-0.1,0.05,-0.18,-75.32,-60.49
43,-1.12,-0.05,0.03,-8.54,-78.19,-64.7
51,-1.22,-0.03,0.05,-12.7,-74.46,-62.93
59,-1.45,0.01,0.09,-18.07,-56.82,-53.41
67,-1.59,-0.01,0.15,-19.04,-27.71,-37.23
75,-1.65,-0.0,0.17,-18.68,-16.24,-28.81
83,-1.72,-0.01,0.19,-19.47,-0.79,-14.16
91,-1.75,-0.02,0.2,-21.42,0.18,-7.63
99,-1.83,-0.02,0.22,-25.88,-8.61,3.78
107,-1.87,-0.02,0.22,-27.04,-14.89,10.13
115,-1.95,-0.0,0.22,-26.06,-28.38,25.7
123,-2.02,0.03,0.14,-22.22,-34.3,44.92
131,-2.03,0.04,0.11,-21.48,-33.02,55.91
139,-2.01,0.02,0.08,-23.93,-25.82,78.55
147,-1.97,0.0,0.09,-26.55,-21.55,88.81
155,-1.88,-0.04,0.15,-31.07,-10.86,105.16
163,-1.84,-0.04,0.17,-32.23,-5.8,111.45
171,-1.76,-0.03,0.18,-33.57,3.48,122.01
179,-1.68,-0.02,0.18,-38.09,9.4,131.47
187,-1.64,-0.04,0.21,-41.26,10.99,136.23
195,-1.56,-0.04,0.29,-44.25,13.12,144.1
203,-1.54,-0.02,0.33,-42.91,13.61,147.71
211,-1.53,0.01,0.37,-38.15,16.6,156.74
219,-1.5,0.03,0.41,-33.08,17.88,169.43
227,-1.46,0.03,0.45,-31.07,17.7,176.33
235,-1.36,-0.02,0.54,-25.94,15.62,188.17
243,-1.29,-0.02,0.59,-21.91,13.98,191.47
251,-1.16,-0.01,0.64,-10.68,10.01,193.3
259,-1.11,0.0,0.64,-5.07,7.63,193.36
267,-0.97,0.02,0.64,3.05,7.45,191.83
275,-0.82,0.04,0.67,9.58,8.73,186.71
283,-0.75,0.06,0.69,12.51,7.87,182.98
291,-0.65,0.08,0.72,19.71,6.53,173.22
299,-0.6,0.09,0.73,23.8,6.59,167.97
307,-0.52,0.11,0.72,33.69,6.23,156.98
315,-0.45,0.1,0.67,44.56,7.93,146.36
323,-0.41,0.09,0.65,49.19,9.46,140.99
331,-0.33,0.08,0.6,57.62,11.11,129.15
339,-0.29,0.07,0.57,61.28,11.47,122.68
347,-0.2,0.06,0.5,67.87,7.81,108.09
355,-0.17,0.05,0.46,70.31,4.82,100.59
363,-0.1,0.05,0.38,74.28,-1.83,83.56
371,-0.05,0.05,0.3,76.9,-8.24,65.8
379,-0.02,0.05,0.26,77.21,-10.93,56.52
387,0.04,0.06,0.17,75.99,-15.08,37.72
395,0.05,0.06,0.13,74.95,-17.82,28.02
403,0.05,0.06,0.05,71.04,-23.5,8.3
411,0.0,0.06,0.01,66.28,-24.66,-8.0
419,-0.01,0.07,0.0,64.27,-24.23,-14.95
427,-0.03,0.08,-0.02,61.1,-25.51,-27.77
435,-0.05,0.08,-0.03,60.0,-26.49,-33.45
443,-0.06,0.07,-0.07,57.19,-27.95,-43.52
451,-0.07,0.07,-0.09,55.24,-28.69,-48.28
459,-0.06,0.04,-0.14,49.74,-32.17,-58.04
467,-0.05,0.03,-0.18,41.08,-39.55,-71.11
475,-0.06,0.01,-0.19,36.01,-43.76,-78.61
483,-0.07,-0.01,-0.18,26.12,-50.17,-95.09
491,-0.08,-0.02,-0.17,21.97,-51.88,-103.94
499,-0.1,-0.05,-0.14,17.21,-51.82,-123.9
507,-0.1,-0.07,-0.13,16.24,-50.9,-135.25
515,-0.15,-0.09,-0.14,15.08,-45.65,-161.74
523,-0.23,-0.09,-0.17,14.16,-36.38,-188.54
531,-0.3,-0.07,-0.19,13.49,-30.58,-201.05
539,-0.55,0.02,-0.24,12.08,-15.56,-217.35
547,-0.66,0.04,-0.25,11.23,-3.42,-219.24
555,-0.79,0.08,-0.24,9.03,19.71,-217.35
563,-0.94,0.11,-0.23,5.19,33.51,-212.77
571,-1.0,0.11,-0.21,2.14,37.11,-209.17
579,-1.16,0.13,-0.17,-7.26,27.04,-203.31
587,-1.29,0.16,-0.12,-13.61,14.1,-199.89
595,-1.61,0.24,-0.02,-25.09,-16.24,-186.28
603,-1.78,0.28,0.04,-28.63,-28.99,-175.35
611,-2.08,0.33,0.16,-30.76,-41.99,-147.16
619,-2.3,0.32,0.26,-24.84,-37.23,-113.77
627,-2.37,0.32,0.3,-18.98,-29.72,-96.25
635,-2.45,0.32,0.31,-5.55,-14.77,-60.55
643,-2.47,0.32,0.29,1.22,-8.36,-42.97
651,-2.45,0.32,0.22,12.21,2.01,-9.7
659,-2.38,0.28,0.17,16.6,5.49,17.58
667,-2.33,0.25,0.14,17.52,5.62,28.93
675,-2.23,0.2,0.12,18.55,0.12,45.78
683,-2.2,0.19,0.1,18.43,-5.31,51.51
691,-2.15,0.21,0.04,15.62,-19.1,60.73
699,-2.15,0.22,0.02,12.88,-25.88,65.06
707,-2.16,0.21,-0.01,5.86,-34.0,74.83
715,-2.17,0.21,0.0,-0.61,-33.39,86.3
723,-2.17,0.21,0.03,-2.99,-29.48,92.53
731,-2.17,0.23,0.08,-3.17,-18.01,107.18
739,-2.17,0.24,0.1,-1.71,-11.47,115.78
747,-2.11,0.24,0.13,0.85,-4.58,135.31
755,-2.01,0.22,0.13,0.49,-6.1,153.02
763,-1.93,0.2,0.13,-0.43,-8.18,160.1
771,-1.8,0.18,0.13,-2.62,-16.3,171.02
779,-1.73,0.17,0.11,-4.09,-20.02,174.62
787,-1.61,0.18,0.12,-7.69,-22.77,179.75
795,-1.55,0.18,0.14,-9.09,-20.57,181.82
